AREA,CROP,YEAR,VALUE,AREA_ENCODED,CROP_ENCODED,PREDICTED,ERROR,SUSPICIOUS
Africa,Wheat,2016,23512.16646683415,0,5,41228.70542002017,17716.538953186016,True
South America,Rice,2012,61181.54498563161,5,2,53087.12593902738,8094.419046604235,False
Oceania,Wheat,2019,38551.26414016933,4,5,37395.22311299736,1156.0410271719738,False
Europe,Soybean,2003,74680.7155324856,2,3,59378.65158052189,15302.063951963712,False
Africa,Soybean,2009,21352.401029188117,0,3,4112.032751935809,17240.36827725231,True
North America,Barley,2002,78991.19898273474,3,0,78150.45381144767,840.7451712870679,False
Europe,Rice,2008,60768.43164128376,2,2,50427.92595760649,10340.505683677271,False
North America,Sugarcane,2012,12312.462705513088,3,4,32674.87904478559,20362.416339272502,True
Asia,Barley,2017,42035.95383615914,1,0,41579.14314976135,456.81068639778823,False
Europe,Rice,2014,86488.29592068274,2,2,87155.74921554049,667.4532948577544,False
Africa,Barley,2003,92373.06294805,0,0,53740.97879013115,38632.08415791886,True
Europe,Sugarcane,2014,47104.3121095625,2,4,52313.821505553155,5209.509395990652,False
Europe,Corn,2001,48602.86083081828,2,1,76459.45385464201,27856.593023823727,True
Europe,Corn,2014,91927.01776899082,2,1,80831.52319848027,11095.49457051055,False
Oceania,Corn,2007,59119.75418952016,4,1,49399.20759928872,9720.546590231439,False
Europe,Corn,2007,4251.820354100397,2,1,49628.10617259135,45376.28581849096,True
North America,Wheat,2016,91362.19682503377,3,5,84711.70822436582,6650.488600667944,False
Asia,Corn,2011,25574.417832958035,1,1,53947.46960365952,28373.051770701484,True
South America,Sugarcane,2018,58185.56345506317,5,4,51653.45015151714,6532.11330354603,False
Europe,Soybean,2009,17385.81842536941,2,3,21479.85462290186,4094.036197532452,False
Africa,Soybean,2008,4354.036864412903,0,3,4385.720755879717,31.683891466814202,False
Europe,Wheat,2004,31835.843942142983,2,5,38471.82444370173,6635.980501558744,False
Africa,Corn,2005,78269.07504706268,0,1,32310.650009262816,45958.42503779987,True
North America,Corn,2019,28481.1300903124,3,1,28841.666621552544,360.53653124014454,False
Africa,Corn,2001,22789.62419402861,0,1,47570.88446462807,24781.26027059946,True
South America,Barley,2012,22055.3976497814,5,0,26141.927728717572,4086.530078936172,False
Asia,Rice,2005,52002.194558274445,1,2,56295.60455474512,4293.409996470677,False
Africa,Barley,2004,97578.59025259288,0,0,79191.94439352733,18386.645859065553,False
Africa,Rice,2000,46439.909813684295,0,2,51989.06239928188,5549.152585597585,False
Asia,Corn,2020,56173.23152011474,1,1,54379.8240771488,1793.407442965945,False
South America,Corn,2020,86202.56977118267,5,1,40247.29707995307,45955.2726912296,True
Europe,Barley,2005,53971.9021744322,2,0,69034.93026201848,15063.028087586274,False
Africa,Barley,2005,19261.824270466757,0,0,30340.3934787922,11078.569208325443,True
Asia,Rice,2015,30659.99526488123,1,2,67693.67613528857,37033.680870407334,True
North America,Soybean,2003,31683.75570059248,3,3,51323.20099614035,19639.445295547874,True
Asia,Rice,2010,40334.49343030219,1,2,41869.961263391495,1535.4678330893075,False
North America,Barley,2008,43252.10162833819,3,0,42127.68318416853,1124.4184441696634,False
South America,Sugarcane,2002,80178.42018535268,5,4,77790.50295795196,2387.917227400714,False
Europe,Barley,2018,35589.31290588397,2,0,40131.51872120088,4542.205815316913,False
Asia,Sugarcane,2007,47354.95101569656,1,4,19819.479903552303,27535.47111214426,True
Oceania,Wheat,2004,62872.622718054175,4,5,60711.8035868557,2160.8191311984774,False
Africa,Barley,2003,38394.86879657676,0,0,53740.97879013115,15346.10999355439,True
South America,Wheat,2005,83819.91651594096,5,5,78836.2287695614,4983.687746379554,False
Asia,Soybean,2001,59157.90681917336,1,3,59875.05071248808,717.1438933147219,False
Africa,Rice,2019,30110.423242876182,0,2,11389.286216294639,18721.137026581542,True
Asia,Sugarcane,2010,71691.860779193,1,4,10896.7588375348,60795.1019416582,True
North America,Rice,2003,53237.1252843338,3,2,59465.36798497471,6228.2427006409125,False
Asia,Wheat,2014,53911.133234467445,1,5,45230.591814587504,8680.54141987994,False
Oceania,Sugarcane,2005,48627.70689037101,4,4,53211.58200749948,4583.8751171284675,False
Asia,Rice,2016,50204.18293330365,1,2,57001.27545140314,6797.092518099489,False
Asia,Barley,2005,76770.27182555782,1,0,64763.723331551955,12006.548494005867,False
Oceania,Corn,2018,11195.166453800235,4,1,15810.298427758631,4615.131973958396,True
South America,Wheat,2001,34101.918319737735,5,5,35742.75516010016,1640.8368403624263,False
Asia,Rice,2014,8474.833016585033,1,2,69584.71752801462,61109.884511429584,True
Oceania,Wheat,2010,75571.37585399764,4,5,68824.5945713903,6746.781282607335,False
Africa,Wheat,2007,27957.88361730965,0,5,31253.655682990735,3295.772065681085,False
North America,Sugarcane,2018,89845.61057206953,3,4,76778.8226318273,13066.78794024224,False
North America,Sugarcane,2012,53131.26819927008,3,4,32674.87904478559,20456.389154484492,True
Asia,Corn,2011,80274.22737712598,1,1,53947.46960365952,26326.75777346646,True
South America,Barley,2004,97914.21212598016,5,0,104531.38096394138,6617.168837961217,False
South America,Wheat,2005,84139.09708620049,5,5,78836.2287695614,5302.868316639084,False
Africa,Rice,2003,86832.38224114083,0,2,67319.20120116592,19513.18103997491,False
Asia,Soybean,2018,41390.46504111963,1,3,43370.80893225646,1980.3438911368357,False
North America,Wheat,2019,55620.53693067464,3,5,66019.86442478273,10399.327494108089,False
South America,Wheat,2000,26134.967840287125,5,5,26691.08322410427,556.1153838171449,False
Asia,Corn,2019,20415.196869651827,1,1,20321.268748150247,93.92812150157988,False
South America,Barley,2016,51045.28003149734,5,0,46458.80102714672,4586.479004350622,False
Oceania,Soybean,2011,59909.84899034164,4,3,52825.90518339061,7083.943806951029,False
South America,Sugarcane,2014,34587.853343722905,5,4,38904.65776838021,4316.8044246573045,False
North America,Sugarcane,2000,57374.90825858653,3,4,55378.0186074427,1996.889651143836,False
Europe,Rice,2013,88858.58776883679,2,2,64050.92611772427,24807.661651112518,False
Africa,Soybean,2005,56115.43689355324,0,3,38647.73429843232,17467.70259512092,True
