AREA,YEAR,VALUE,AREA_ENCODED,PREDICTED,ERROR,SUSPICIOUS
Africa,2016,23512.16646683415,0,22333.17660865318,1178.989858180972,False
South America,2012,61181.54498563161,5,35045.19620096886,26136.348784662754,True
Oceania,2019,38551.26414016933,4,35682.25567917731,2869.008460992023,False
Europe,2003,74680.7155324856,2,63435.01872973763,11245.696802747967,False
Africa,2009,21352.401029188117,0,1805.115117866947,19547.28591132117,True
North America,2002,78991.19898273474,3,71898.59416021488,7092.604822519861,False
Europe,2008,60768.43164128376,2,43363.34471507543,17405.08692620833,False
North America,2012,12312.462705513088,3,42588.35292705724,30275.890221544152,True
Asia,2017,42035.95383615914,1,41947.86031064052,88.09352551861957,False
Europe,2014,86488.29592068274,2,74810.96326806895,11677.332652613783,False
Africa,2003,92373.06294805,0,62079.782949339686,30293.27999871032,True
Europe,2014,47104.3121095625,2,74810.96326806895,27706.65115850645,True
Europe,2001,48602.86083081828,2,83157.41420672854,34554.55337591026,True
Europe,2014,91927.01776899082,2,74810.96326806895,17116.054500921862,False
Oceania,2007,59119.75418952016,4,52382.353973273835,6737.400216246322,False
Europe,2007,4251.820354100397,2,47307.568359467194,43055.7480053668,True
North America,2016,91362.19682503377,3,80854.56387583991,10507.632949193852,False
Asia,2011,25574.417832958035,1,52368.1821215351,26793.764288577066,True
South America,2018,58185.56345506317,5,26088.30378670754,32097.259668355633,True
Europe,2009,17385.81842536941,2,23253.79552283154,5867.9770974621315,True
Africa,2008,4354.036864412903,0,6871.24468538222,2517.2078209693173,True
Europe,2004,31835.843942142983,2,52020.76292294187,20184.918980798884,True
Africa,2005,78269.07504706268,0,39713.98075839341,38555.09428866927,True
North America,2019,28481.1300903124,3,53673.99690964579,25192.866819333394,True
Africa,2001,22789.62419402861,0,45643.453836361536,22853.829642332927,True
South America,2012,22055.3976497814,5,35045.19620096886,12989.798551187458,True
Asia,2005,52002.194558274445,1,58322.109436186205,6319.91487791176,False
Africa,2004,97578.59025259288,0,57378.95587913352,40199.63437345936,True
Africa,2000,46439.909813684295,0,69971.11909621612,23531.209282531825,True
Asia,2020,56173.23152011474,1,55054.13558264001,1119.0959374747326,False
South America,2020,86202.56977118267,5,58096.21755218814,28106.35221899452,True
Europe,2005,53971.9021744322,2,47816.080323218994,6155.821851213208,False
Africa,2005,19261.824270466757,0,39713.98075839341,20452.15648792665,True
Asia,2015,30659.99526488123,1,55091.86001226049,24431.864747379263,True
North America,2003,31683.75570059248,3,51288.59003580939,19604.834335216914,True
Asia,2010,40334.49343030219,1,29847.589127299267,10486.90430300292,False
North America,2008,43252.10162833819,3,40841.91048805288,2410.1911402853075,False
South America,2002,80178.42018535268,5,80225.17225411335,46.752068760673865,False
Europe,2018,35589.31290588397,2,50055.624392845246,14466.311486961276,True
Asia,2007,47354.95101569656,1,45902.851440823375,1452.0995748731875,False
Oceania,2004,62872.622718054175,4,62782.2414915912,90.38122646297415,False
Africa,2003,38394.86879657676,0,62079.782949339686,23684.914152762925,True
South America,2005,83819.91651594096,5,59315.09374369295,24504.822772248008,False
Asia,2001,59157.90681917336,1,60167.57105542884,1009.6642362554776,False
Africa,2019,30110.423242876182,0,-4277.266546370458,34387.68978924664,True
Asia,2010,71691.860779193,1,29847.589127299267,41844.27165189373,True
North America,2003,53237.1252843338,3,51288.59003580939,1948.5352485244075,False
Asia,2014,53911.133234467445,1,55091.86001226049,1180.7267777930465,False
Oceania,2005,48627.70689037101,4,54215.51707728174,5587.810186910727,False
Asia,2016,50204.18293330365,1,49172.752600661464,1031.4303326421868,False
Asia,2005,76770.27182555782,1,58322.109436186205,18448.162389371617,False
Oceania,2018,11195.166453800235,4,16478.337249872107,5283.170796071872,True
South America,2001,34101.918319737735,5,35748.53249019356,1646.614170455825,False
Asia,2014,8474.833016585033,1,55091.86001226049,46617.02699567546,True
Oceania,2010,75571.37585399764,4,61380.626103535054,14190.749750462586,False
Africa,2007,27957.88361730965,0,27490.174285901034,467.709331408616,False
North America,2018,89845.61057206953,3,70874.7326225164,18970.877949553134,False
North America,2012,53131.26819927008,3,42588.35292705724,10542.915272212842,False
Asia,2011,80274.22737712598,1,52368.1821215351,27906.045255590878,True
South America,2004,97914.21212598016,5,94559.84312074103,3354.369005239132,False
South America,2005,84139.09708620049,5,59315.09374369295,24824.003342507538,False
Africa,2003,86832.38224114083,0,62079.782949339686,24752.599291801147,False
Asia,2018,41390.46504111963,1,41361.41233248785,29.052708631774294,False
North America,2019,55620.53693067464,3,53673.99690964579,1946.5400210288499,False
South America,2000,26134.967840287125,5,25356.853816958483,778.1140233286424,False
Asia,2019,20415.196869651827,1,19862.56435258139,552.6325170704367,False
South America,2016,51045.28003149734,5,52652.843214733926,1607.5631832365834,False
Oceania,2011,59909.84899034164,4,63329.17691459298,3419.327924251338,False
South America,2014,34587.853343722905,5,44338.94131849815,9751.087974775248,False
North America,2000,57374.90825858653,3,57427.21089696557,52.30263837903476,False
Europe,2013,88858.58776883679,2,43678.93069690192,45179.65707193487,True
Africa,2005,56115.43689355324,0,39713.98075839341,16401.45613515983,False
Africa,2004,72360.49653474016,0,57378.95587913352,14981.540655606637,False
North America,2010,80726.18176843261,3,51186.93936965441,29539.242398778202,True
