AREA,YEAR,VALUE,AREA_ENCODED,PREDICTED,ERROR,SUSPICIOUS
Africa,2016,23512.16646683415,0,44781.19899345166,21269.03252661751,True
South America,2012,61181.54498563161,5,54577.02612434002,6604.518861291595,False
Oceania,2019,38551.26414016933,4,48938.61803854164,10387.353898372305,False
Europe,2003,74680.7155324856,2,55464.58892962593,19216.126602859673,False
Africa,2009,21352.401029188117,0,48935.182641410735,27582.781612222618,True
North America,2002,78991.19898273474,3,57542.43960288796,21448.759379846786,False
Europe,2008,60768.43164128376,2,52497.457752512535,8270.973888771223,False
North America,2012,12312.462705513088,3,51608.17724866094,39295.71454314786,True
Asia,2017,42035.95383615914,1,45672.197195868706,3636.243359709566,False
Europe,2014,86488.29592068274,2,48936.900339976186,37551.39558070655,True
Africa,2003,92373.06294805,0,52495.74005394685,39877.322894103156,True
Europe,2014,47104.3121095625,2,48936.900339976186,1832.588230413683,False
Europe,2001,48602.86083081828,2,56651.441400471376,8048.580569653095,False
Europe,2014,91927.01776899082,2,48936.900339976186,42990.11742901463,True
Oceania,2007,59119.75418952016,4,56059.73286361387,3060.0213259062875,False
Europe,2007,4251.820354100397,2,53090.88398793503,48839.06363383463,True
North America,2016,91362.19682503377,3,49234.47230697004,42127.724518063726,True
Asia,2011,25574.417832958035,1,49232.75460840482,23658.336775446787,True
South America,2018,58185.56345506317,5,51016.4687118039,7169.094743259273,False
Europe,2009,17385.81842536941,2,51904.03151708981,34518.213091720405,True
Africa,2008,4354.036864412903,0,49528.60887683346,45174.572012420555,True
Europe,2004,31835.843942142983,2,54871.1626942032,23035.31875206022,True
Africa,2005,78269.07504706268,0,51308.8875831014,26960.18746396128,True
North America,2019,28481.1300903124,3,47454.1936007021,18973.0635103897,True
Africa,2001,22789.62419402861,0,53682.5925247923,30892.96833076369,True
South America,2012,22055.3976497814,5,54577.02612434002,32521.628474558616,True
Asia,2005,52002.194558274445,1,52793.31202094094,791.1174626664942,False
Africa,2004,97578.59025259288,0,51902.313818524126,45676.27643406876,True
Africa,2000,46439.909813684295,0,54276.018760215025,7836.1089465307305,False
Asia,2020,56173.23152011474,1,43891.91848960053,12281.313030514211,False
South America,2020,86202.56977118267,5,49829.61624095845,36372.953530224215,True
Europe,2005,53971.9021744322,2,54277.73645878048,305.8342843482751,False
Africa,2005,19261.824270466757,0,51308.8875831014,32047.063312634644,True
Asia,2015,30659.99526488123,1,46859.04966671392,16199.054401832695,True
North America,2003,31683.75570059248,3,56949.01336746523,25265.257666872752,True
Asia,2010,40334.49343030219,1,49826.18084382755,9491.68741352536,False
North America,2008,43252.10162833819,3,53981.88219035184,10729.78056201365,False
South America,2002,80178.42018535268,5,60511.28847856703,19667.131706785643,False
Europe,2018,35589.31290588397,2,46563.19539828552,10973.88249240155,True
Asia,2007,47354.95101569656,1,51606.45955009549,4251.508534398927,False
Oceania,2004,62872.622718054175,4,57840.011569882045,5032.611148172131,False
Africa,2003,38394.86879657676,0,52495.74005394685,14100.87125737009,True
South America,2005,83819.91651594096,5,58731.00977229886,25088.906743642103,False
Asia,2001,59157.90681917336,1,55167.01696263184,3990.889856541522,False
Africa,2019,30110.423242876182,0,43000.92028718372,12890.497044307536,True
Asia,2010,71691.860779193,1,49826.18084382755,21865.67993536545,True
North America,2003,53237.1252843338,3,56949.01336746523,3711.888083131431,False
Asia,2014,53911.133234467445,1,47452.47590213665,6458.657332330797,False
Oceania,2005,48627.70689037101,4,57246.58533445932,8618.87844408831,False
Asia,2016,50204.18293330365,1,46265.6234312912,3938.559502012453,False
Asia,2005,76770.27182555782,1,52793.31202094094,23976.959804616883,True
Oceania,2018,11195.166453800235,4,49532.04427396436,38336.877820164125,True
South America,2001,34101.918319737735,5,61104.71471398976,27002.796394252022,True
Asia,2014,8474.833016585033,1,47452.47590213665,38977.64288555161,True
Oceania,2010,75571.37585399764,4,54279.45415734593,21291.921696651712,False
Africa,2007,27957.88361730965,0,50122.03511225595,22164.1514949463,True
North America,2018,89845.61057206953,3,48047.619836124824,41797.99073594471,True
North America,2012,53131.26819927008,3,51608.17724866094,1523.0909506091411,False
Asia,2011,80274.22737712598,1,49232.75460840482,31041.472768721156,True
South America,2004,97914.21212598016,5,59324.43600772158,38589.77611825858,True
South America,2005,84139.09708620049,5,58731.00977229886,25408.087313901633,True
Africa,2003,86832.38224114083,0,52495.74005394685,34336.64218719398,True
Asia,2018,41390.46504111963,1,45078.77096044598,3688.3059193263543,False
North America,2019,55620.53693067464,3,47454.1936007021,8166.343329972544,False
South America,2000,26134.967840287125,5,61698.14094941248,35563.17310912536,True
Asia,2019,20415.196869651827,1,44485.34472502326,24070.14785537143,True
South America,2016,51045.28003149734,5,52203.32118264912,1158.041151151774,False
Oceania,2011,59909.84899034164,4,53686.0279219232,6223.821068418438,False
South America,2014,34587.853343722905,5,53390.17365349457,18802.32030977166,True
North America,2000,57374.90825858653,3,58729.292073733406,1354.3838151468735,False
Europe,2013,88858.58776883679,2,49530.32657539891,39328.26119343788,True
Africa,2005,56115.43689355324,0,51308.8875831014,4806.549310451839,False
Africa,2004,72360.49653474016,0,51902.313818524126,20458.182716216033,False
North America,2010,80726.18176843261,3,52795.02971950639,27931.15204892622,True
South America,2003,98884.14941358884,5,59917.86224314431,38966.28717044453,True
Asia,2012,60716.54281552098,1,48639.3283729821,12077.214442538883,False
South America,2010,80878.16474729602,5,55763.878595185466,25114.28615211055,True
North America,2002,96302.2825369326,3,57542.43960288796,38759.842934044646,True
Africa,2000,94496.56283215008,0,54276.018760215025,40220.54407193506,True
South America,2005,14967.103028993644,5,58731.00977229886,43763.90674330521,True
Africa,2017,41232.83851907868,0,44187.77275802917,2954.934238950489,False
Asia,2009,33075.01604957316,1,50419.60707925027,17344.59102967711,True
Africa,2004,9605.576480084585,0,51902.313818524126,42296.73733843954,True
Africa,2009,63690.83671618509,0,48935.182641410735,14755.654074774357,False
Europe,2011,73854.55670640423,2,50717.17904624436,23137.377660159866,True
Europe,2001,84964.68145122146,2,56651.441400471376,28313.240050750086,True
Oceania,2012,13154.91207660814,4,53092.60168650048,39937.68960989234,True
Europe,2007,87767.96351165409,2,53090.88398793503,34677.07952371906,True
Africa,2001,64649.63079781107,0,53682.5925247923,10967.03827301877,False
North America,2019,70690.66737871243,3,47454.1936007021,23236.47377801033,True
Africa,2000,91151.7763504901,0,54276.018760215025,36875.75759027507,True
North America,2004,62851.36583328186,3,56355.58713204251,6495.778701239353,False
North America,2008,34250.71985783368,3,53981.88219035184,19731.162332518157,True
Europe,2016,82685.62581084332,2,47750.047869130736,34935.57794171259,True
South America,2008,36942.86200731396,5,56950.731066030916,20007.869058716955,True
Asia,2010,4388.582971232383,1,49826.18084382755,45437.597872595165,True
Europe,2014,83234.79614995973,2,48936.900339976186,34297.89580998354,True
Europe,2005,35174.02234324628,2,54277.73645878048,19103.714115534196,True
South America,2002,77609.61779693268,5,60511.28847856703,17098.32931836565,False
Asia,2016,36913.0315719286,1,46265.6234312912,9352.591859362597,False
