AREA,CROP,YEAR,VALUE,AREA_ENCODED,CROP_ENCODED,PREDICTED,ERROR,SUSPICIOUS
Africa,Wheat,2016,23512.16646683415,0,5,39337.0791811926,15824.912714358452,True
South America,Rice,2012,61181.54498563161,5,2,52702.522658341666,8479.022327289946,False
Oceania,Wheat,2019,38551.26414016933,4,5,45906.896858173335,7355.6327180040025,False
Europe,Soybean,2003,74680.7155324856,2,3,64022.43048037465,10658.28505211095,False
Africa,Soybean,2009,21352.401029188117,0,3,14443.408047646119,6908.992981541998,True
North America,Barley,2002,78991.19898273474,3,0,75023.71800891488,3967.4809738198674,False
Europe,Rice,2008,60768.43164128376,2,2,53305.88174213862,7462.549899145139,False
North America,Sugarcane,2012,12312.462705513088,3,4,33125.590984146154,20813.128278633067,True
Asia,Barley,2017,42035.95383615914,1,0,43327.897624935526,1291.9437887763852,False
Europe,Rice,2014,86488.29592068274,2,2,82619.67532291808,3868.6205977646605,False
Africa,Barley,2003,92373.06294805,0,0,55348.944533459384,37024.11841459062,True
Europe,Sugarcane,2014,47104.3121095625,2,4,55324.16726640626,8219.855156843754,False
Europe,Corn,2001,48602.86083081828,2,1,65023.585742487216,16420.724911668935,True
Europe,Corn,2014,91927.01776899082,2,1,76206.97055136452,15720.0472176263,False
Oceania,Corn,2007,59119.75418952016,4,1,51000.27972453417,8119.474464985986,False
Europe,Corn,2007,4251.820354100397,2,1,47819.637573461856,43567.81721936146,True
North America,Wheat,2016,91362.19682503377,3,5,83942.4684684489,7419.728356584863,False
Asia,Corn,2011,25574.417832958035,1,1,51620.691106295184,26046.27327333715,True
South America,Sugarcane,2018,58185.56345506317,5,4,51036.73953128467,7148.823923778502,False
Europe,Soybean,2009,17385.81842536941,2,3,29576.16030124805,12190.34187587864,True
Africa,Soybean,2008,4354.036864412903,0,3,16015.491696143492,11661.454831730589,True
Europe,Wheat,2004,31835.843942142983,2,5,42068.36082937103,10232.516887228045,True
Africa,Corn,2005,78269.07504706268,0,1,35215.00982867589,43054.06521838679,True
North America,Corn,2019,28481.1300903124,3,1,36361.64511887055,7880.515028558148,False
Africa,Corn,2001,22789.62419402861,0,1,50191.69561049039,27402.07141646178,True
South America,Barley,2012,22055.3976497814,5,0,34926.330708142006,12870.933058360606,True
Asia,Rice,2005,52002.194558274445,1,2,51880.28406005255,121.91049822189234,False
Africa,Barley,2004,97578.59025259288,0,0,75870.09363096335,21708.49662162953,False
Africa,Rice,2000,46439.909813684295,0,2,60067.12389576586,13627.214082081562,False
Asia,Corn,2020,56173.23152011474,1,1,48066.057927875074,8107.173592239669,False
South America,Corn,2020,86202.56977118267,5,1,32055.216081118964,54147.3536900637,True
Europe,Barley,2005,53971.9021744322,2,0,58455.91042091905,4484.0082464868465,False
Africa,Barley,2005,19261.824270466757,0,0,37201.289707714204,17939.465437247447,True
Asia,Rice,2015,30659.99526488123,1,2,59463.71125382525,28803.71598894402,True
North America,Soybean,2003,31683.75570059248,3,3,44794.688371658296,13110.932671065817,True
Asia,Rice,2010,40334.49343030219,1,2,42856.32642390256,2521.832993600372,False
North America,Barley,2008,43252.10162833819,3,0,43115.26991564378,136.83171269440936,False
South America,Sugarcane,2002,80178.42018535268,5,4,75662.96276381702,4515.457421535655,False
Europe,Barley,2018,35589.31290588397,2,0,47614.26576657597,12024.952860692,True
Asia,Sugarcane,2007,47354.95101569656,1,4,28886.974033427032,18467.97698226953,True
Oceania,Wheat,2004,62872.622718054175,4,5,57826.06189792912,5046.560820125058,False
Africa,Barley,2003,38394.86879657676,0,0,55348.944533459384,16954.075736882623,True
South America,Wheat,2005,83819.91651594096,5,5,77158.93481109619,6660.981704844773,False
Asia,Soybean,2001,59157.90681917336,1,3,53829.50826974184,5328.39854943152,False
Africa,Rice,2019,30110.423242876182,0,2,33075.08591131418,2964.6626684379953,False
Asia,Sugarcane,2010,71691.860779193,1,4,17717.539874521655,53974.320904671345,True
North America,Rice,2003,53237.1252843338,3,2,56314.37835071583,3077.253066382029,False
Asia,Wheat,2014,53911.133234467445,1,5,50783.80148108976,3127.3317533776863,False
